,Year,Dem Polling Avg,Rep Polling Avg,Dem Actual,Rep Actual,(DEM - REP) Polling Avg,(DEM - REP) Polling Avg Adj.,(DEM - REP) Actual,(DEM - REP) Actual Avg Adj.
0,2018,49.4,42.1,53.3,44.9,0.07299999999999997,0.0005666666666666656,0.08399999999999999,0.07577777777777776
1,2016,46.0,45.4,48.0,49.1,0.006000000000000014,-0.00010333333333333387,-0.011000000000000015,-0.019222222222222245
2,2014,43.2,45.6,45.7,51.4,-0.023999999999999987,-0.0004033333333333339,-0.05699999999999996,-0.06522222222222218
3,2012,47.3,47.5,49.2,48.0,-0.0020000000000000282,-0.0001833333333333343,0.012000000000000028,0.0037777777777778
4,2010,41.3,50.7,44.8,51.6,-0.09400000000000006,-0.0011033333333333344,-0.06800000000000005,-0.07622222222222227
5,2008,47.6,38.6,53.2,42.5,0.09,0.0007366666666666661,0.10700000000000003,0.0987777777777778
6,2006,52.1,40.6,52.0,44.1,0.115,0.000986666666666666,0.07899999999999999,0.07077777777777776
7,2004,45.4,45.4,46.6,49.2,0.0,-0.00016333333333333401,-0.026000000000000013,-0.03422222222222224
8,2002,46.0,47.7,45.0,49.6,-0.01700000000000003,-0.0003333333333333343,-0.04600000000000001,-0.05422222222222224
Mean,-,46.47777777777779,44.84444444444445,48.644444444444446,47.82222222222222,0.0163333333333334,0.0,0.008222222222222228,0.0
