Race Name,Candidate 1,Result 1,Candidate 2,Result 2,Candidate 3,Result 3,Pollster
Texas Governor, Abbott, 56,Valdez,37,,,UT/Texas Tribune*
Florida Governor, DeSantis,48,Gillum, 45,,,WCTV-TV
Michigan Governor, Schuette,41,Whitmer, 46,,,EPIC-MRA*
Florida Governor, DeSantis,46,Gillum, 51,,,Gravis
Oklahoma Governor, Stitt, 51,Edmondson,44,,,Magellan (R)*
Florida Governor, DeSantis,37,Gillum, 41,,,Florida Atlantic University
Georgia Governor, Kemp, 48,Abrams,48,,,Opinion Savvy*
Florida Governor, DeSantis,46,Gillum, 47,,,St. Pete Polls*
Michigan Governor, Schuette,36,Whitmer, 50,,,MRG
Arkansas Governor, Hutchinson, 60,Henderson,24,,,Talk Business/Hendrix College*
Florida Governor, DeSantis,42,Gillum, 54,,,CNN
Maine Governor, Moody,36,Mills, 44,,,Pan Atlantic*
Tennessee Governor, Lee, 48,Dean,37,,,Vanderbilt University
Florida Governor, DeSantis,46,Gillum, 47,,,St. Pete Polls*
Colorado Governor, Stapleton,40,Polis, 47,,,Magellan (R)*
Texas Governor, Abbott, 57,Valdez,39,,,CNN
California Governor, Cox,31,Newsom, 54,,,LA Times/USC
South Carolina Governor, McMaster, 56,Smith,32,,,Trafalgar Group (R)
Georgia Governor, Kemp, 49,Abrams,47,,,NBC News/Marist
California Governor, Cox,38,Newsom, 49,,,PPIC
South Dakota Governor, Noem, 45,Sutton,45,,,KELO/Mason-Dixon*
California Governor, Cox,41,Newsom, 54,,,KFI-NBC 4
Florida Governor, DeSantis,46,Gillum, 52,,,Quinnipiac
Alaska Governor, Dunleavy, 48,Begich,44,,,Alaska Survey Research*
Florida Governor, DeSantis,42,Gillum, 49,,,Bay News 9/SurveyUSA
California Governor, Cox,32,Newsom, 52,,,Emerson*
Vermont Governor, Scott, 42,Hallquist,28,,,Vermont Public Radio*
Minnesota Governor, Johnson,39,Walz, 45,,,Star Tribune/Mason-Dixon
New Hampshire Governor, Sununu, 50,Kelly,39,,,UNH*
