Race Name,Candidate 1,Result 1,Candidate 2,Result 2,Candidate 3,Result 3,Pollster
Michigan Senate, James,43,Stabenow, 52,,,Emerson
Michigan Senate, James,46,Stabenow, 52,,,Mitchell Research
Minnesota Senate, Housley,41,Smith, 47,,,Star Tribune/Mason-Dixon*
Michigan Senate, James,36,Stabenow, 53,,,Detroit News/WDIV-TV*
Missouri Senate, Hawley, 49,McCaskill,45,,,Missouri Scout*
Michigan Senate, James,42,Stabenow, 49,,,EPIC-MRA
Michigan Senate, James,37,Stabenow, 53,,,MRG
Minnesota Senate, Newberger,33,Klobuchar, 56,,,Star Tribune/Mason-Dixon*
Missouri Senate, Hawley, 47,McCaskill,46,,,Missouri Scout*
Tennessee Senate, Blackburn, 43,Bredesen,44,,,Vanderbilt University
Utah Senate, Romney, 59,Wilson,23,,,Salt Lake Tribune
Tennessee Senate, Blackburn, 54,Bredesen,40,,,NY Times/Siena
Michigan Senate, James,42,Stabenow, 51,,,Mitchell Research
Minnesota Senate, Newberger,33,Klobuchar, 63,,,NBC News/Marist
New York Senate, Farley,33,Gillibrand, 58,,,Quinnipiac
Minnesota Senate, Housley,38,Smith, 54,,,NBC News/Marist
Michigan Senate, James,35,Stabenow, 53,,,Detroit News/WDIV-TV
Missouri Senate, Hawley, 44,McCaskill,47,,,CNN*
Missouri Senate, Hawley, 48,McCaskill,46,,,Missouri Scout*
Tennessee Senate, Blackburn, 50,Bredesen,42,,,CBS News/YouGov
Tennessee Senate, Blackburn, 48,Bredesen,43,,,FOX News
Missouri Senate, Hawley, 46,McCaskill,46,,,FOX News
New York Senate, Farley,29,Gillibrand, 61,,,Siena
Michigan Senate, James,33,Stabenow, 56,,,EPIC-MRA
