Race Name,Candidate 1,Result 1,Candidate 2,Result 2,Candidate 3,Result 3,Pollster
Texas Senate, Cruz, 51,O'Rourke,45,,,UT/Texas Tribune*
Florida Senate, Scott,45,Nelson, 46,,,WCTV-TV
California Senate, Feinstein,27,de Leon, 43,,,PPIC
Florida Senate, Scott,45,Nelson, 49,,,Gravis
New Jersey Senate, Hugin,46,Menendez, 51,,,Rutgers-Eagleton
Florida Senate, Scott,42,Nelson, 41,,,Florida Atlantic University
Montana Senate, Rosendale,43,Tester, 46,,,MTN-MSU*
Mississippi Senate, Wicker, 60,Baria,32,,,NBC News/Marist
Mississippi Senate Ru,Off Election - Hyde-Smith, 50,Espy,36,,,NBC News/Marist
Indiana Senate, Braun,40,Donnelly, 41,Brenton, 8,SurveyUSA
Florida Senate, Scott,49,Nelson, 48,,,St. Pete Polls
West Virginia Senate, Morrisey,36,Manchin, 52,,,WSAZ-TV*
Minnesota Senate, Housley,41,Smith, 47,,,Star Tribune/Mason-Dixon*
California Senate, Feinstein,23,de Leon, 41,,,Emerson*
Florida Senate, Scott,45,Nelson, 50,,,CNN
Arizona Senate, McSally, 48,Sinema,46,,,NY Times/Siena
Maine Senate, Brakey,30,King, 57,,,Pan Atlantic*
Tennessee Senate, Blackburn, 43,Bredesen,44,,,Vanderbilt University
California Senate, Feinstein,31,de Leon, 44,,,LA Times/USC
Florida Senate, Scott,49,Nelson, 47,,,St. Pete Polls
New Jersey Senate, Hugin,44,Menendez, 51,,,Quinnipiac
Michigan Senate, James,42,Stabenow, 49,,,EPIC-MRA
Michigan Senate, James,37,Stabenow, 53,,,MRG
Indiana Senate, Braun,47,Donnelly, 43,Brenton, 3,Indy Politics/Mason Strategies (R)
Montana Senate, Rosendale,38,Tester, 47,,,MSU-Billings*
Mississippi Senate, Open Prima,,sissippi Senate Special Election - Open Primary,,,,NBC News/Marist
Florida Senate, Scott,46,Nelson, 52,,,Quinnipiac
Florida Senate, Scott,41,Nelson, 49,,,Bay News 9/SurveyUSA
North Dakota Senate, Cramer, 56,Heitkamp,40,,,NBC Valley News
Minnesota Senate, Newberger,33,Klobuchar, 56,,,Star Tribune/Mason-Dixon*
Vermont Senate, Zupan,19,Sanders, 60,,,Vermont Public Radio*
Missouri Senate, Hawley, 47,McCaskill,46,,,Missouri Scout*
New Jersey Senate, Hugin,40,Menendez, 49,,,Monmouth
New York Senate, Farley,33,Gillibrand, 58,,,Quinnipiac
Indiana Senate, Braun,40,Donnelly, 44,Brenton, 7,Gravis
Texas Senate, Cruz, 52,O'Rourke,45,,,CNN
Washington Senate, Hutchison,39,Cantwell, 53,,,Elway Poll
Nevada Senate, Heller, 48,Rosen,41,,,Emerson*
Utah Senate, Romney, 59,Wilson,23,,,Salt Lake Tribune
Tennessee Senate, Blackburn, 54,Bredesen,40,,,NY Times/Siena
Nevada Senate, Heller, 47,Rosen,45,,,NY Times/Siena
Michigan Senate, James,42,Stabenow, 51,,,Mitchell Research
Massachusetts Senate, Diehl,31,Warren, 56,,,UMass Lowell*
Arizona Senate, McSally, 47,Sinema,41,,,ABC 15/OH Predictive Insights
Ohio Senate, Renacci,36,Brown, 54,,,Suffolk
