Race Name,Candidate 1,Result 1,Candidate 2,Result 2,Candidate 3,Result 3,Pollster
Michigan Governor, Schuette,41,Whitmer, 52,,,Emerson
Michigan Governor, Schuette,43,Whitmer, 48,,,Mitchell Research
Michigan Governor, Schuette,41,Whitmer, 46,,,EPIC-MRA*
Georgia Governor, Kemp, 48,Abrams,48,,,Opinion Savvy*
Michigan Governor, Schuette,36,Whitmer, 50,,,MRG
Michigan Governor, Schuette,38,Whitmer, 50,,,Detroit News/WDIV-TV*
Georgia Governor, Kemp, 49,Abrams,47,,,NBC News/Marist
Minnesota Governor, Johnson,39,Walz, 45,,,Star Tribune/Mason-Dixon
Tennessee Governor, Lee, 48,Dean,37,,,Vanderbilt University
Colorado Governor, Stapleton,40,Polis, 47,,,Magellan (R)*
South Carolina Governor, McMaster, 56,Smith,32,,,Trafalgar Group (R)
Georgia Governor, Kemp, 48,Abrams,46,,,Atlanta Journal-Constitution*
Michigan Governor, Schuette,38,Whitmer, 46,,,Mitchell Research
Minnesota Governor, Johnson,38,Walz, 55,,,NBC News/Marist
New York Governor, Molinaro,35,Cuomo, 58,,,Quinnipiac
Tennessee Governor, Lee, 59,Dean,33,,,NY Times/Siena
Georgia Governor, Kemp, 47,Abrams,45,,,WXIA-TV/SurveyUSA
Tennessee Governor, Lee, 53,Dean,36,,,FOX News
Michigan Governor, Schuette,35,Whitmer, 47,,,Detroit News/WDIV-TV
Kansas Governor, Kobach, 37,Kelly,36,Orman, 9,Emerson*
South Carolina Governor, McMaster, 51,Smith,37,,,Trafalgar Group (R)
New York Governor, Molinaro,38,Cuomo, 56,,,Siena
Georgia Governor, Kemp, 48,Abrams,46,,,Landmark Communications*
Colorado Governor, Stapleton,40,Polis, 47,,,Keating (D)/Magellan (R)*
Michigan Governor, Schuette,37,Whitmer, 45,,,EPIC-MRA*
