Candidate,Party,State,Office,Incumbency,Result,Total Money
"WOODCOCK, CHANDLER E",REPUBLICAN,ME,GOVERNOR,Challenger,Lost-General,1328052.58
"BALDACCI, JOHN E",DEMOCRATIC,ME,GOVERNOR,Incumbent,Won-General,1300296.26
"LAMARCHE, PATRICIA H",GREEN INDEPENDENT,ME,GOVERNOR,Challenger,Lost-General,1128885.12
"MERRILL, BARBARA E",UNENROLLED,ME,GOVERNOR,Challenger,Lost-General,921987.07
"FARRINGTON, FRANK J",REPUBLICAN,ME,SENATE DISTRICT 032,Challenger,Lost-General,63678.22
"PERRY, JOSEPH C",DEMOCRATIC,ME,SENATE DISTRICT 032,Incumbent,Won-General,62889.91
"MCCORMICK, EARLE L",REPUBLICAN,ME,SENATE DISTRICT 021,Open,Won-General,62278.55
"SHERMAN, ROGER L",REPUBLICAN,ME,SENATE DISTRICT 034,Open,Won-General,42529.61
"LOUIS, KEITH M",GREEN INDEPENDENT,ME,SENATE DISTRICT 007,Challenger,Lost-General,42249.80
"MAYO III, ARTHUR F",DEMOCRATIC,ME,SENATE DISTRICT 019,Incumbent,Lost-General,42017.05
"BROMLEY, LYNN",DEMOCRATIC,ME,SENATE DISTRICT 007,Incumbent,Won-General,40134.98
"HOLMAN, ABIGAIL",REPUBLICAN,ME,HOUSE DISTRICT 083,Open,Won-General,39985.00
"RINES, BRIAN",DEMOCRATIC,ME,SENATE DISTRICT 021,Open,Lost-General,38900.13
"SMITH, DOUGLAS M",REPUBLICAN,ME,SENATE DISTRICT 027,Open,Won-General,38390.00
"DESGROSSEILLIERS, EDWARD H",DEMOCRATIC,ME,SENATE DISTRICT 015,Challenger,Lost-General,37022.05
"LEMONT, KENNETH F",REPUBLICAN,ME,SENATE DISTRICT 001,Open,Lost-General,35597.29
"BOWMAN, PETER B",DEMOCRATIC,ME,SENATE DISTRICT 001,Open,Won-General,35038.22
"HASTINGS III, DAVID R",REPUBLICAN,ME,SENATE DISTRICT 013,Incumbent,Won-General,33625.38
"SULLIVAN, NANCY B",DEMOCRATIC,ME,SENATE DISTRICT 004,Incumbent,Won-General,31682.91
"MEDD, MARJORIE M",DEMOCRATIC,ME,SENATE DISTRICT 013,Challenger,Lost-General,31286.75
"SIMPSON, JOHN I",REPUBLICAN,ME,HOUSE DISTRICT 018,Challenger,Lost-General,30150.00
"SNOWE-MELLO, LOIS A",REPUBLICAN,ME,SENATE DISTRICT 015,Incumbent,Won-General,29630.33
"KEWISH, CHARITY A",REPUBLICAN,ME,SENATE DISTRICT 005,Challenger,Lost-General,28416.96
"LIBBY JONES, SHARON H",DEMOCRATIC,ME,SENATE DISTRICT 027,Open,Lost-General,28193.09
"GLYNN, KEVIN J",REPUBLICAN,ME,SENATE DISTRICT 007,Challenger,Lost-General,26890.44
"GREENWOOD, RANDALL ADAM",REPUBLICAN,ME,SENATE DISTRICT 017,Challenger,Lost-General,25916.58
"SCHNEIDER, ELIZABETH M",DEMOCRATIC,ME,SENATE DISTRICT 030,Incumbent,Won-General,25328.49
"KELLY, LANI S",REPUBLICAN,ME,SENATE DISTRICT 012,Challenger,Lost-General,24766.60
"BENOIT, PAULA I",REPUBLICAN,ME,SENATE DISTRICT 019,Challenger,Won-General,24062.00
"BECKWITH, J CHIPMAN",DEMOCRATIC,ME,SENATE DISTRICT 034,Open,Lost-General,23935.30
"HATCH, PAUL R",DEMOCRATIC,ME,SENATE DISTRICT 026,Challenger,Lost-General,23839.72
"WESTON, CAROL",REPUBLICAN,ME,SENATE DISTRICT 023,Incumbent,Won-General,23564.91
"FREDETTE, KENNETH WADE",REPUBLICAN,ME,SENATE DISTRICT 028,Challenger,Lost-General,23509.00
"MARRACHE, LISA TESSIER",DEMOCRATIC,ME,SENATE DISTRICT 025,Open,Won-General,23509.00
"ROTUNDO, MARGARET R",DEMOCRATIC,ME,SENATE DISTRICT 016,Incumbent,Won-General,23509.00
"NASS, RICHARD A",REPUBLICAN,ME,SENATE DISTRICT 002,Incumbent,Won-General,23508.90
"BARTLETT II, PHILIP L",DEMOCRATIC,ME,SENATE DISTRICT 006,Incumbent,Won-General,23508.88
"SIMPSON, JOHN P",DEMOCRATIC,ME,SENATE DISTRICT 011,Challenger,Lost-General,23508.83
"MITCHELL, ELIZABETH H",DEMOCRATIC,ME,SENATE DISTRICT 024,Incumbent,Won-General,23508.43
"STRIMLING, ETHAN KING",DEMOCRATIC,ME,SENATE DISTRICT 008,Incumbent,Won-General,23507.89
"COURTNEY, JONATHAN T E",REPUBLICAN,ME,SENATE DISTRICT 003,Incumbent,Won-General,23507.47
"STAPLES, AMANDA J",REPUBLICAN,ME,SENATE DISTRICT 004,Challenger,Lost-General,23507.16
"HANSLIP, JOSEPH R",DEMOCRATIC,ME,SENATE DISTRICT 003,Challenger,Lost-General,23506.95
"FERNALD, DAVID R",REPUBLICAN,ME,SENATE DISTRICT 009,Open,Lost-General,23506.70
"HOBBINS, BARRY J",DEMOCRATIC,ME,SENATE DISTRICT 005,Incumbent,Won-General,23503.80
"NUTTING, ROBERT W",REPUBLICAN,ME,SENATE DISTRICT 024,Challenger,Lost-General,23502.98
"BARROWS, SCOTT",DEMOCRATIC,ME,SENATE DISTRICT 022,Challenger,Lost-General,23491.37
"ROSEN, RICHARD W",REPUBLICAN,ME,SENATE DISTRICT 031,Incumbent,Won-General,23470.80
"DAVIS, THOMAS R",REPUBLICAN,ME,SENATE DISTRICT 025,Open,Lost-General,23452.90
"WRIGHT, THOMAS",DEMOCRATIC,ME,SENATE DISTRICT 002,Challenger,Lost-General,23206.71
"EDMONDS, BETHEDA",DEMOCRATIC,ME,SENATE DISTRICT 010,Incumbent,Won-General,23176.19
