State,Position,District,Dem Projected,Dem Actual,Dem Probability,Rep Projected,Rep Actual,Rep Probability,Other Projected,Other Actual,Other Probability,Rating,Winner,Correct,Error
GA,Attorney General,Statewide,47.63,48.7,17.56,52.37,51.3,82.44,,,
GA,Governor,Statewide,47.59,48.83,26.37,50.8,50.22,73.63,,,
GA,Lieutenant Governor,Statewide,47.84,48.37,19.77,52.16,51.63,80.23,,,
GA,Secretary Of State,Statewide,47.23,48.67,20.88,51.35,49.09,79.12,1.41,2.23,0.01
GA,State Representative,1,,,,100.0,100.0,100.00,,,
GA,State Representative,10,,,,100.0,100.0,100.00,,,
GA,State Representative,100,100.0,100.0,100.00,,,,,,
GA,State Representative,101,61.13,58.81,99.99,38.87,41.19,0.01,,,
GA,State Representative,102,46.45,51.41,8.1,53.55,48.59,91.90,,,
GA,State Representative,103,,,,100.0,100.0,100.00,,,
GA,State Representative,104,47.24,46.63,13.89,52.76,53.37,86.11,,,
GA,State Representative,105,49.82,58.37,47.17,50.18,41.63,52.83,,,
GA,State Representative,106,,,,100.0,100.0,100.00,,,
GA,State Representative,107,52.4,58.79,82.79,47.6,41.21,17.21,,,
GA,State Representative,108,44.05,50.68,0.96,55.95,49.32,99.04,,,
GA,State Representative,109,43.97,48.46,0.89,56.03,51.54,99.11,,,
GA,State Representative,11,24.43,14.05,0.01,75.57,85.95,99.99,,,
GA,State Representative,110,,,,100.0,100.0,100.00,,,
GA,State Representative,111,48.83,56.59,32.2,51.17,43.41,67.80,,,
GA,State Representative,112,,,,100.0,100.0,100.00,,,
GA,State Representative,113,100.0,100.0,100.00,,,,,,
GA,State Representative,114,,,,100.0,100.0,100.00,,,
GA,State Representative,115,,,,100.0,100.0,100.00,,,
GA,State Representative,116,,,,100.0,100.0,100.00,,,
GA,State Representative,117,51.41,46.45,71.04,48.59,53.55,28.96,,,
GA,State Representative,118,100.0,100.0,100.00,,,,,,
GA,State Representative,119,52.28,47.22,81.47,47.72,52.78,18.53,,,
GA,State Representative,12,,,,100.0,100.0,100.00,,,
GA,State Representative,120,35.39,31.61,0.01,64.61,68.39,99.99,,,
GA,State Representative,121,,,,100.0,100.0,100.00,,,
GA,State Representative,122,,,,100.0,100.0,100.00,,,
GA,State Representative,123,34.58,33.14,0.01,65.42,66.86,99.99,,,
GA,State Representative,124,100.0,100.0,100.00,,,,,,
GA,State Representative,125,100.0,100.0,100.00,,,,,,
GA,State Representative,126,72.64,69.53,99.99,27.36,30.47,0.01,,,
GA,State Representative,127,100.0,100.0,100.00,,,,,,
GA,State Representative,128,63.37,57.01,99.99,36.63,42.99,0.01,,,
GA,State Representative,129,,,,100.0,100.0,100.00,,,
GA,State Representative,13,34.23,33.44,0.01,65.77,66.56,99.99,,,
GA,State Representative,130,,,,100.0,100.0,100.00,,,
GA,State Representative,131,29.57,26.25,0.01,70.43,73.75,99.99,,,
GA,State Representative,132,61.98,52.2,99.99,38.02,47.8,0.01,,,
GA,State Representative,133,,,,100.0,100.0,100.00,,,
GA,State Representative,134,,,,100.0,100.0,100.00,,,
GA,State Representative,135,100.0,100.0,100.00,,,,,,
GA,State Representative,136,100.0,100.0,100.00,,,,,,
GA,State Representative,137,100.0,100.0,100.00,,,,,,
GA,State Representative,138,57.02,48.21,99.71,42.98,51.79,0.29,,,
GA,State Representative,139,100.0,100.0,100.00,,,,,,
GA,State Representative,140,,,,100.0,100.0,100.00,,,
GA,State Representative,141,,,,100.0,100.0,100.00,,,
GA,State Representative,142,100.0,100.0,100.00,,,,,,
GA,State Representative,143,100.0,100.0,100.00,,,,,,
GA,State Representative,144,40.18,34.62,0.01,59.82,65.38,99.99,,,
GA,State Representative,145,,,,100.0,100.0,100.00,,,
GA,State Representative,146,,,,100.0,100.0,100.00,,,
GA,State Representative,147,42.56,45.85,0.18,57.44,54.15,99.82,,,
GA,State Representative,148,33.53,30.55,0.01,66.47,69.45,99.99,,,
GA,State Representative,149,,,,100.0,100.0,100.00,,,
GA,State Representative,15,,,,100.0,100.0,100.00,,,
GA,State Representative,150,,,,100.0,100.0,100.00,,,
GA,State Representative,151,44.19,46.47,1.12,55.81,53.53,98.88,,,
GA,State Representative,152,30.49,25.96,0.01,69.51,74.04,99.99,,,
