State,Year,Position,District,Candidate,Party,Actual Vote Share,Unrounded Actual Vote Share
MA,2018,Attorney General,Statewide,Maura Healey,DEM,69.96,69.95820519357487
MA,2018,Attorney General,Statewide,James R. Mcmahon III,REP,30.04,30.041794806425138
MA,2018,Governor,Statewide,Gonzalez And Palfrey,DEM,33.21,33.21084124357779
MA,2018,Governor,Statewide,Baker And Polito,REP,66.79,66.78915875642221
MA,2018,Secretary Of State,Statewide,William Francis Galvin,DEM,70.86,70.86491847418806
MA,2018,Secretary Of State,Statewide,Anthony M. Amore,REP,25.34,25.343618772776882
MA,2018,State Representative,10Th Bristol,William M. Straus,DEM,100.0,100.0
MA,2018,State Representative,10Th Essex,Daniel H. Cahill,DEM,100.0,100.0
MA,2018,State Representative,10Th Hampden,Carlos Gonzalez,DEM,100.0,100.0
MA,2018,State Representative,10Th Middlesex,John J. Lawn Jr.,DEM,100.0,100.0
MA,2018,State Representative,10Th Norfolk,Jeffrey N. Roy,DEM,58.53,58.52607826042361
MA,2018,State Representative,10Th Norfolk,Patrick R. Casey,REP,41.47,41.47392173957638
MA,2018,State Representative,10Th Plymouth,Michelle M. Dubois,DEM,56.44,56.44089366515838
MA,2018,State Representative,10Th Plymouth,John F. Cruz,REP,43.56,43.55910633484163
MA,2018,State Representative,10Th Suffolk,Edward F. Coppinger,DEM,100.0,100.0
MA,2018,State Representative,10Th Worcester,Brian W. Murray,DEM,56.11,56.11114333778061
MA,2018,State Representative,10Th Worcester,Sandra Slattery E. Biagetti,REP,43.89,43.88885666221939
MA,2018,State Representative,11Th Bristol,Christopher Hendricks,DEM,100.0,100.0
MA,2018,State Representative,11Th Essex,Peter L. Capano,DEM,100.0,100.0
MA,2018,State Representative,11Th Hampden,Bud L. Williams,DEM,100.0,100.0
MA,2018,State Representative,11Th Middlesex,Kay S. Khan,DEM,100.0,100.0
MA,2018,State Representative,11Th Norfolk,Paul Mcmurtry,DEM,67.05,67.0453460620525
MA,2018,State Representative,11Th Norfolk,John G. Mcdonald,REP,32.95,32.95465393794749
MA,2018,State Representative,11Th Plymouth,Claire D. Cronin,DEM,100.0,100.0
MA,2018,State Representative,11Th Suffolk,Elizabeth A. Malia,DEM,100.0,100.0
MA,2018,State Representative,11Th Worcester,Hannah E. Kane,REP,100.0,100.0
MA,2018,State Representative,12Th Bristol,Allin John Frawley,DEM,47.89,47.89460570574312
MA,2018,State Representative,12Th Bristol,Norman J. Orrall,REP,52.11,52.10539429425688
MA,2018,State Representative,12Th Essex,Thomas P. Walsh,DEM,100.0,100.0
MA,2018,State Representative,12Th Hampden,Angelo J. Puppolo Jr.,DEM,77.55,77.54710954966464
MA,2018,State Representative,12Th Middlesex,Ruth B. Balser,DEM,100.0,100.0
MA,2018,State Representative,12Th Norfolk,John H. Rogers,DEM,100.0,100.0
MA,2018,State Representative,12Th Plymouth,Kathleen R. Lanatra,DEM,52.53,52.53463085248995
MA,2018,State Representative,12Th Plymouth,Joseph M. Truschelli,REP,47.47,47.46536914751005
MA,2018,State Representative,12Th Suffolk,Dan Cullinane,DEM,100.0,100.0
MA,2018,State Representative,12Th Worcester,Harold P. Naughton Jr.,DEM,75.42,75.41565687876908
MA,2018,State Representative,13Th Bristol,Antonio D. F. Cabral,DEM,78.77,78.77050005030686
MA,2018,State Representative,13Th Essex,Theodore C. Speliotis,DEM,51.44,51.44255018662363
MA,2018,State Representative,13Th Essex,Mark B. Mezzina,REP,48.56,48.55744981337637
MA,2018,State Representative,13Th Middlesex,Carmine Lawrence Gentile,DEM,100.0,100.0
MA,2018,State Representative,13Th Norfolk,Denise C. Garlick,DEM,100.0,100.0
MA,2018,State Representative,13Th Suffolk,Daniel J. Hunt,DEM,100.0,100.0
MA,2018,State Representative,13Th Worcester,John J. Mahoney Jr.,DEM,100.0,100.0
MA,2018,State Representative,14Th Bristol,Elizabeth A. Poirier,REP,100.0,100.0
MA,2018,State Representative,14Th Essex,Christina A. Minicucci,DEM,64.46,64.45986124876116
MA,2018,State Representative,14Th Essex,Ryan R. Losco,REP,35.54,35.54013875123885
MA,2018,State Representative,14Th Middlesex,Tami L. Gouveia,DEM,90.02,90.01755039089507
MA,2018,State Representative,14Th Norfolk,Alice Hanlon Peisch,DEM,100.0,100.0
MA,2018,State Representative,14Th Suffolk,Angelo M. Scaccia,DEM,100.0,100.0
MA,2018,State Representative,14Th Worcester,James J. O'Day,DEM,100.0,100.0
MA,2018,State Representative,15Th Essex,Linda Dean Campbell,DEM,79.53,79.5276105731484
MA,2018,State Representative,15Th Middlesex,Michelle Ciccolo,DEM,100.0,100.0
MA,2018,State Representative,15Th Norfolk,Tommy Vitolo,DEM,100.0,100.0
MA,2018,State Representative,15Th Suffolk,Nika Elugardo,DEM,100.0,100.0
MA,2018,State Representative,15Th Worcester,Mary S. Keefe,DEM,100.0,100.0
MA,2018,State Representative,16Th Essex,Marcos A. Devers,DEM,100.0,100.0
MA,2018,State Representative,16Th Middlesex,Thomas A. Golden Jr.,DEM,100.0,100.0
MA,2018,State Representative,16Th Suffolk,Roselee Vincent,DEM,100.0,100.0
MA,2018,State Representative,16Th Worcester,Daniel M. Donahue,DEM,100.0,100.0
MA,2018,State Representative,17Th Essex,Frank A. Moran,DEM,100.0,100.0
MA,2018,State Representative,17Th Middlesex,David M. Nangle,DEM,100.0,100.0
MA,2018,State Representative,17Th Suffolk,Kevin G. Honan,DEM,100.0,100.0
MA,2018,State Representative,17Th Worcester,David Henry Argosky Leboeuf,DEM,59.35,59.354838709677416
MA,2018,State Representative,17Th Worcester,Paul J. Fullen,REP,40.65,40.64516129032258
MA,2018,State Representative,18Th Essex,Tram T. Nguyen,DEM,54.88,54.88470588235295
MA,2018,State Representative,18Th Essex,James J. Lyons Jr.,REP,45.12,45.11529411764706
MA,2018,State Representative,18Th Middlesex,Rady Mom,DEM,100.0,100.0
MA,2018,State Representative,18Th Suffolk,Michael J. Moran,DEM,100.0,100.0
MA,2018,State Representative,18Th Worcester,Joseph D. Mckenna,REP,100.0,100.0
MA,2018,State Representative,19Th Middlesex,David Allen Robertson,DEM,48.25,48.252411829827615
MA,2018,State Representative,19Th Middlesex,Pina Prinzivalli,REP,43.48,43.47619800727503
MA,2018,State Representative,19Th Suffolk,Robert A. Deleo,DEM,100.0,100.0
MA,2018,State Representative,1St Barnstable,Steven Leibowitz,DEM,41.48,41.4796270718232
MA,2018,State Representative,1St Barnstable,Timothy R. Whelan,REP,58.52,58.5203729281768
MA,2018,State Representative,1St Berkshire,John P. Barrett III,DEM,100.0,100.0
MA,2018,State Representative,1St Bristol,Fred Jay Barrows,REP,100.0,100.0
MA,2018,State Representative,1St Essex,Jennifer A. Rocco-Runnion,DEM,47.3,47.30361523862426
MA,2018,State Representative,1St Essex,James M. Kelcourse,REP,52.7,52.69638476137574
MA,2018,State Representative,1St Franklin,Natalie M. Blais,DEM,100.0,100.0
MA,2018,State Representative,1St Hampden,Tanya V. Neslusan,DEM,32.71,32.70597832420464
MA,2018,State Representative,1St Hampden,Todd M. Smola,REP,67.29,67.29402167579536
MA,2018,State Representative,1St Hampshire,Lindsay N. Sabadosa,DEM,100.0,100.0
MA,2018,State Representative,1St Middlesex,Sheila C. Harrington,REP,100.0,100.0
MA,2018,State Representative,1St Norfolk,Bruce J. Ayers,DEM,100.0,100.0
MA,2018,State Representative,1St Plymouth,John T. Mahoney Jr.,DEM,47.7,47.698906076815575
MA,2018,State Representative,1St Plymouth,Mathew J. Muratore,REP,52.3,52.301093923184425
MA,2018,State Representative,1St Suffolk,Adrian C. Madaro,DEM,100.0,100.0
MA,2018,State Representative,1St Worcester,Kimberly N. Ferguson,REP,77.89,77.8904565941603
