office,candidate,party,state,incumbency,result,total money,district
Supreme Court-Roggensack Seat,Patience Drake Roggensack,IND,WI,Incumbent,Won-General,656031.26,nan
Supreme Court-Roggensack Seat,Edward Andrew Fallone,IND,WI,Challenger,Lost-General,372998.32,nan
Superintendent Of Public Instruction,Anthony Evers,IND,WI,Incumbent,Won-General,240523.13,nan
Superintendent Of Public Instruction,Donald Pridemore,IND,WI,Challenger,Lost-General,88541.01,nan
State Representative,Robert Allen Kulp,REP,WI,Open,Won-General,84469.92,69
State Representative,Yesenia Edelmira Rodriguez,REP,WI,Open,Won-General,65266.33,21
State Representative,Kenneth Skowronski,REP,WI,Open,Won-General,51441.5,82
State Representative,Elizabeth Coppola,DEM,WI,Open,Lost-General,45544.52,21
State Representative,Adam Neylon,REP,WI,Open,Won-General,27710.64,98
State Representative,John Hermes,DEM,WI,Open,Lost-General,25439.1,82
State Representative,Kenneth Slezak,DEM,WI,Open,Lost-General,8900.43,69
Appellate Court District 002-Gundrum Seat,Mark Gundrum,IND,WI,Incumbent,Won-General,0.0,nan
Appellate Court District 004-Lundsten Seat,Paul Lundsten,IND,WI,Incumbent,Won-General,0.0,nan
Appellate Court District 003-Open Seat,Lisa Stark,IND,WI,Open,Won-General,0.0,nan
