State,District,Position,Party,Candidate,Vote Share
Alabama,1,U.S. Representative,Republican,Jo Bonner,1.000
Alabama,2,U.S. Representative,Democratic,Bobby Bright,0.502
Alabama,2,U.S. Representative,Republican,Jay Love,0.496
Alabama,3,U.S. Representative,Republican,Mike Rogers,0.540
Alabama,3,U.S. Representative,Democratic,Joshua Segall,0.458
Alabama,4,U.S. Representative,Republican,Robert Aderholt,0.748
Alabama,4,U.S. Representative,Democratic,Nicholas Sparks,0.251
Alabama,5,U.S. Representative,Democratic,Parker Griffith,0.515
Alabama,5,U.S. Representative,Republican,Wayne Parker,0.479
Alabama,6,U.S. Representative,Republican,Spencer Bachus,1.000
Alabama,7,U.S. Representative,Democratic,Artur Davis,1.000
Alaska,At-Large,U.S. Representative,Republican,Don Young,0.502
Alaska,At-Large,U.S. Representative,Democratic,Ethan Berkowitz,0.450
Alaska,At-Large,U.S. Representative,Alaskan Independence,Don Wright,0.045
Arizona,1,U.S. Representative,Democratic,Ann Kirkpatrick,0.559
Arizona,1,U.S. Representative,Republican,Sydney Hay,0.394
Arizona,1,U.S. Representative,Independent,Brent Maupin,0.034
Arizona,1,U.S. Representative,Libertarian,Thane Eichenauer,0.013
Arizona,2,U.S. Representative,Republican,Trent Franks,0.594
Arizona,2,U.S. Representative,Democratic,John Thrasher,0.372
Arizona,2,U.S. Representative,Libertarian,Powell Gammill,0.023
Arizona,2,U.S. Representative,Green,William Crum,0.011
Arizona,3,U.S. Representative,Republican,John Shadegg,0.541
Arizona,3,U.S. Representative,Democratic,Bob Lord,0.421
Arizona,3,U.S. Representative,Libertarian,Michael Shoen,0.038
Arizona,4,U.S. Representative,Democratic,Ed Pastor,0.721
Arizona,4,U.S. Representative,Republican,Don Karg,0.212
Arizona,4,U.S. Representative,Green,Rebecca DeWitt,0.036
Arizona,4,U.S. Representative,Libertarian,Joe Cobb,0.031
Arizona,5,U.S. Representative,Democratic,Harry Mitchell,0.532
Arizona,5,U.S. Representative,Republican,David Schweikert,0.436
Arizona,5,U.S. Representative,Libertarian,Warren Severin,0.032
Arizona,6,U.S. Representative,Republican,Jeff Flake,0.625
