State,District,Position,Party,Candidate,Vote Share
Alabama,1,U.S. Representative,Republican,Bradley Byrne,0.68
Alabama,1,U.S. Representative,Democratic, Burton LeFlore,0.32
Alabama,2,U.S. Representative,Republican,Martha Roby,0.67
Alabama,2,U.S. Representative,Democratic,Erick Wright,0.33
Alabama,3,U.S. Representative,Republican,Mike Rogers,0.66
Alabama,3,U.S. Representative,Democratic,Jesse Smith,0.34
Alabama,4,U.S. Representative,Republican,Robert Aderholt,1.00
Alabama,5,U.S. Representative,Republican,Mo Brooks,0.74
Alabama,5,U.S. Representative,Independent,Mark Bray,0.25
Alabama,6,U.S. Representative,Republican,Gary Palmer,0.76
Alabama,6,U.S. Representative,Democratic,Mark Lester,0.24
Alabama,6,U.S. Representative,Libertarian, Aimee Love,0.00
Alabama,7,U.S. Representative,Democratic,Terri Sewell,1.00
Alaska,At-Large,U.S. Representative,Republican,Don Young,0.51
Alaska,At-Large,U.S. Representative,Democratic,Forrest Dunbar,0.41
Alaska,At-Large,U.S. Representative,Libertarian,Jim McDermott,0.08
Arizona,1,U.S. Representative,Democratic,Ann Kirkpatrick,0.53
Arizona,1,U.S. Representative,Republican,Andy Tobin,0.47
Arizona,2,U.S. Representative,Republican,Martha McSally,0.50
Arizona,2,U.S. Representative,Democratic, Ron Barber,0.50
Arizona,3,U.S. Representative,Democratic,Raúl Grijalva,0.56
Arizona,3,U.S. Representative,Republican,Gabriela Saucedo Mercer,0.44
Arizona,4,U.S. Representative,Republican,Paul Gosar,0.70
Arizona,4,U.S. Representative,Democratic,Mike Weisser,0.26
Arizona,4,U.S. Representative,Libertarian,Chris Rike,0.04
Arizona,5,U.S. Representative,Republican,Matt Salmon,0.70
Arizona,5,U.S. Representative,Democratic,James Woods,0.30
Arizona,6,U.S. Representative,Republican,David Schweikert,0.65
Arizona,6,U.S. Representative,Democratic,John Williamson,0.35
Arizona,7,U.S. Representative,Democratic,Ruben Gallego,0.74
Arizona,7,U.S. Representative,Libertarian,Joe Cobb,0.16
Arizona,7,U.S. Representative,Americans Elect,Rebecca DeWitt,0.06
Arizona,8,U.S. Representative,Republican,Trent Franks,0.76
Arizona,8,U.S. Representative,Americans Elect,Stephen Dolgos,0.24
Arizona,9,U.S. Representative,Democratic,Kyrsten Sinema,0.55
Arizona,9,U.S. Representative,Republican,Wendy Rogers,0.42
Arizona,9,U.S. Representative,Libertarian,Powell Gammill,0.04
Arkansas,1,U.S. Representative,Republican,Rick Crawford,0.63
Arkansas,1,U.S. Representative,Democratic,Jackie McPherson,0.32
Arkansas,1,U.S. Representative,Libertarian,Brian Willhite,0.04
Arkansas,2,U.S. Representative,Republican,French Hill,0.52
Arkansas,2,U.S. Representative,Democratic,Pat Hays,0.44
Arkansas,2,U.S. Representative,Libertarian,Debbie Standiford,0.05
Arkansas,3,U.S. Representative,Republican,Steve Womack,0.79
Arkansas,3,U.S. Representative,Libertarian,Grant Brand,0.21
Arkansas,4,U.S. Representative,Republican,Bruce Westerman,0.54
Arkansas,4,U.S. Representative,Democratic,James Lee Witt,0.43
Arkansas,4,U.S. Representative,Libertarian,Ken Hamilton,0.04
California,1,U.S. Representative,Republican,Doug LaMalfa,0.61
California,1,U.S. Representative,Democratic,Heidi Hall,0.39
California,2,U.S. Representative,Democratic,Jared Huffman,0.75
California,2,U.S. Representative,Republican,Dale Mensing,0.25
