,State,District,Position,Party,Candidate,Vote Share,
0,Alabama,1,U.S. Representative,REP,Jo Bonner,0.605,
1,Alabama,1,U.S. Representative,IND,Judy McCain Belk,0.37799999999999995,DEM
2,Alabama,1,U.S. Representative,LIB,Dick Coffee,0.017,
3,Alabama,2,U.S. Representative,REP,Terry Everett,0.688,
4,Alabama,3,U.S. Representative,REP,Mike Rogers,0.503,
5,Alabama,4,U.S. Representative,REP,Robert Aderholt,0.867,
6,Alabama,4,U.S. Representative,LIB,Tony Hughes McLendon,0.13,
7,Alabama,5,U.S. Representative,IND,"Robert ""Bud"" Cramer",0.733,DEM
8,Alabama,6,U.S. Representative,REP,Spencer Bachus,0.898,
9,Alabama,6,U.S. Representative,LIB,J. Holden McAllister,0.099,
10,Alabama,7,U.S. Representative,IND,Artur Davis,0.924,DEM
11,Alabama,7,U.S. Representative,LIB,Lauren Orth McCay,0.073,
12,Alaska,At-Large,U.S. Representative,REP,Don Young,0.745,
13,Alaska,At-Large,U.S. Representative,IND,Clifford Mark Greene,0.17300000000000001,DEM
14,Alaska,At-Large,U.S. Representative,IND,Russell F. DeForest,0.063,
15,Alaska,At-Large,U.S. Representative,LIB,Rob Clift,0.017,
16,Arizona,1,U.S. Representative,REP,Rick Renzi,0.49200000000000005,
17,Arizona,1,U.S. Representative,IND,George Cordova,0.456,DEM
18,Arizona,1,U.S. Representative,LIB,Edwin Porr,0.052000000000000005,
19,Arizona,2,U.S. Representative,REP,Trent Franks,0.599,
20,Arizona,2,U.S. Representative,IND,Randy Camacho,0.366,DEM
21,Arizona,2,U.S. Representative,LIB,Edward Carlson,0.035,
22,Arizona,3,U.S. Representative,REP,John Shadegg,0.6729999999999999,
23,Arizona,3,U.S. Representative,IND,Charles Hill,0.303,DEM
24,Arizona,3,U.S. Representative,LIB,Mark Yannone,0.024,
25,Arizona,4,U.S. Representative,IND,Ed Pastor,0.674,DEM
26,Arizona,4,U.S. Representative,REP,Jonathan Barnert,0.278,
27,Arizona,4,U.S. Representative,LIB,Amy Gibbons,0.048,
28,Arizona,5,U.S. Representative,REP,J. D. Hayworth,0.612,
29,Arizona,5,U.S. Representative,IND,Craig Columbus,0.363,DEM
30,Arizona,5,U.S. Representative,LIB,Warren Severin,0.026000000000000002,
31,Arizona,6,U.S. Representative,REP,Jeff Flake,0.659,
32,Arizona,6,U.S. Representative,IND,Deborah Thomas,0.316,DEM
33,Arizona,6,U.S. Representative,LIB,Andy Wagner,0.025,
34,Arizona,7,U.S. Representative,IND,Raul Grijalva,0.59,DEM
35,Arizona,7,U.S. Representative,REP,Ross Hieb,0.371,
36,Arizona,7,U.S. Representative,LIB,John Nemeth,0.039,
37,Arizona,8,U.S. Representative,REP,Jim Kolbe,0.633,
38,Arizona,8,U.S. Representative,IND,Mary Judge Ryan,0.336,DEM
