State,District,Position,Party,Candidate,Vote Share
Alabama,1,U.S. Representative,Republican,Bradley Byrne,0.964
Alabama,2,U.S. Representative,Republican,Martha Roby,0.488
Alabama,2,U.S. Representative,Democratic,Nathan Mathis,0.405
Alabama,3,U.S. Representative,Republican,Mike Rogers,0.669
Alabama,3,U.S. Representative,Democratic,Jesse Smith,0.329
Alabama,4,U.S. Representative,Republican,Robert Aderholt,0.985
Alabama,5,U.S. Representative,Republican,Mo Brooks,0.667
Alabama,5,U.S. Representative,Democratic,Will Boyd,0.332
Alabama,6,U.S. Representative,Republican,Gary Palmer,0.745
Alabama,6,U.S. Representative,Democratic,David Putman,0.254
Alabama,7,U.S. Representative,Democratic,Terri Sewell,0.984
Alaska,At-Large,U.S. Representative,Republican,Don Young,0.503
Alaska,At-Large,U.S. Representative,Democratic,Steve Lindbeck,0.360
Alaska,At-Large,U.S. Representative,Libertarian,Jim C. McDermott,0.103
Alaska,At-Large,U.S. Representative,Independent,Bernie Souphanavong,0.030
Arizona,1,U.S. Representative,Democratic,Tom O'Halleran,0.507
Arizona,1,U.S. Representative,Republican,Paul Babeu,0.434
Arizona,1,U.S. Representative,Green,Ray Parrish,0.060
Arizona,2,U.S. Representative,Republican,Martha McSally,0.570
Arizona,2,U.S. Representative,Democratic,Matt Heinz,0.430
Arizona,3,U.S. Representative,Democratic,Raúl Grijalva,0.986
Arizona,4,U.S. Representative,Republican,Paul Gosar,0.715
Arizona,4,U.S. Representative,Democratic,Mikel Weisser,0.285
Arizona,5,U.S. Representative,Republican,Andy Biggs,0.641
Arizona,5,U.S. Representative,Democratic,Talia Fuentes,0.359
Arizona,6,U.S. Representative,Republican,David Schweikert,0.621
Arizona,6,U.S. Representative,Democratic,W. John Williamson,0.379
Arizona,7,U.S. Representative,Democratic,Ruben Gallego,0.752
Arizona,7,U.S. Representative,Republican,Eve Nunez,0.247
Arizona,8,U.S. Representative,Republican,Trent Franks,0.685
Arizona,8,U.S. Representative,Green,Mark Salazar,0.314
Arizona,9,U.S. Representative,Democratic,Kyrsten Sinema,0.609
Arizona,9,U.S. Representative,Republican,Dave Giles,0.391
Arkansas,1,U.S. Representative,Republican,Rick Crawford,0.763
Arkansas,1,U.S. Representative,Libertarian,Mark West,0.237
Arkansas,2,U.S. Representative,Republican,French Hill,0.584
Arkansas,2,U.S. Representative,Democratic,Dianne Curry,0.368
Arkansas,2,U.S. Representative,Libertarian,Chris Hayes,0.047
Arkansas,3,U.S. Representative,Republican,Steve Womack,0.773
Arkansas,3,U.S. Representative,Libertarian,Steve Isaacson,0.227
Arkansas,4,U.S. Representative,Republican,Bruce Westerman,0.749
Arkansas,4,U.S. Representative,Libertarian,Kerry Hicks,0.251
California,1,U.S. Representative,Republican,Doug LaMalfa,0.591
California,1,U.S. Representative,Democratic,Jim Reed,0.409
California,2,U.S. Representative,Democratic,Jared Huffman,0.769
California,2,U.S. Representative,Republican,Dale Mensing,0.231
California,3,U.S. Representative,Democratic,John Garamendi,0.594
California,3,U.S. Representative,Republican,Eugene Cleek,0.406
California,4,U.S. Representative,Republican,Tom McClintock,0.627
California,4,U.S. Representative,Democratic,Bob Derlet,0.373
California,5,U.S. Representative,Democratic,Mike Thompson,0.769
California,5,U.S. Representative,Republican,Carlos Santamaria,0.231
California,6,U.S. Representative,Democratic,Doris Matsui,0.754
California,6,U.S. Representative,Republican,Bob Evans,0.246
California,7,U.S. Representative,Democratic,Ami Bera,0.512
California,7,U.S. Representative,Republican,Scott Jones,0.488
California,8,U.S. Representative,Republican,Paul Cook,0.623
California,8,U.S. Representative,Democratic,Rita Ramirez,0.377
California,9,U.S. Representative,Democratic,Jerry McNerney,0.574
California,9,U.S. Representative,Republican,Tony Amador,0.426
California,10,U.S. Representative,Republican,Jeff Denham,0.517
California,10,U.S. Representative,Democratic,Michael Eggman,0.483
California,11,U.S. Representative,Democratic,Mark DeSaulnier,0.721
California,11,U.S. Representative,Republican,Roger Petersen,0.279
California,12,U.S. Representative,Democratic,Nancy Pelosi,0.809
California,12,U.S. Representative,No Party Preference,Preston Picus,0.191
California,13,U.S. Representative,Democratic,Barbara Lee,0.908
California,13,U.S. Representative,Republican,Sue Caro,0.092
California,14,U.S. Representative,Democratic,Jackie Speier,0.809
