State,District,Position,Party,Candidate,Vote Share
Alabama,1,U.S. Representative,Republican,Jo Bonner,0.979
Alabama,2,U.S. Representative,Republican,Martha Roby,0.637
Alabama,2,U.S. Representative,Democratic,Therese Ford,0.363
Alabama,3,U.S. Representative,Republican,Mike Rogers,0.641
Alabama,3,U.S. Representative,Democratic,John Andrew Harris,0.359
Alabama,4,U.S. Representative,Republican,Robert Aderholt,0.740
Alabama,4,U.S. Representative,Democratic,Daniel Boman,0.260
Alabama,5,U.S. Representative,Republican,Mo Brooks,0.650
Alabama,5,U.S. Representative,Democratic,Charlie Holley,0.350
Alabama,6,U.S. Representative,Republican,Spencer Bachus,0.714
Alabama,6,U.S. Representative,Democratic,Penny Bailey,0.286
Alabama,7,U.S. Representative,Democratic,Terri Sewell,0.758
Alabama,7,U.S. Representative,Republican,Don Chamberlain,0.242
Alaska,At-Large,U.S. Representative,Republican,Don Young,0.647
Alaska,At-Large,U.S. Representative,Democratic,Sharon Cissna,0.284
Alaska,At-Large,U.S. Representative,Libertarian,Jim McDermott,0.051
Alaska,At-Large,U.S. Representative,Independent,Ted Gianoutsos,0.009
Arizona,1,U.S. Representative,Democratic,Ann Kirkpatrick,0.488
Arizona,1,U.S. Representative,Republican,Jonathan Paton,0.451
Arizona,1,U.S. Representative,Libertarian,Kim Allen,0.060
Arizona,2,U.S. Representative,Democratic,Ron Barber,0.504
Arizona,2,U.S. Representative,Republican,Martha McSally,0.496
Arizona,2,U.S. Representative,Libertarian,Anthony Powell,0.000
Arizona,3,U.S. Representative,Democratic,Raúl Grijalva,0.578
Arizona,3,U.S. Representative,Republican,Gabriela Saucedo Mercer,0.377
Arizona,3,U.S. Representative,Libertarian,Blanca Guerra,0.044
Arizona,4,U.S. Representative,Republican,Paul Gosar,0.670
Arizona,4,U.S. Representative,Democratic,Johnnie Robinson,0.283
Arizona,4,U.S. Representative,Libertarian,Joe Pamelia,0.037
Arizona,4,U.S. Representative,Americans Elect,Richard Grayson,0.010
Arizona,5,U.S. Representative,Republican,Matt Salmon,0.672
Arizona,5,U.S. Representative,Democratic,Spencer Morgan,0.327
Arizona,6,U.S. Representative,Republican,David Schweikert,0.617
Arizona,6,U.S. Representative,Democratic,Matt Jette,0.331
Arizona,6,U.S. Representative,Libertarian,Jack Anderson,0.033
Arizona,6,U.S. Representative,Green,M. Salazar,0.018
Arizona,7,U.S. Representative,Democratic,Ed Pastor,0.803
Arizona,7,U.S. Representative,Libertarian,Joe Cob,0.192
Arizona,8,U.S. Representative,Republican,Trent Franks,0.636
Arizona,8,U.S. Representative,Democratic,Gene Scharer,0.348
Arizona,8,U.S. Representative,Americans Elect,Stephen Dolgos,0.015
Arizona,9,U.S. Representative,Democratic,Kyrsten Sinema,0.485
Arizona,9,U.S. Representative,Republican,Vernon Parker,0.448
Arizona,9,U.S. Representative,Libertarian,Powell Gammill,0.066
Arkansas,1,U.S. Representative,Republican,Rick Crawford,0.564
Arkansas,1,U.S. Representative,Democratic,Scott Ellington,0.390
Arkansas,1,U.S. Representative,Libertarian,Jessica Paxton,0.026
Arkansas,1,U.S. Representative,Green,Jacob Holloway,0.020
Arkansas,2,U.S. Representative,Republican,Timothy Griffin,0.552
Arkansas,2,U.S. Representative,Democratic,Herb Rule,0.395
Arkansas,2,U.S. Representative,Green,Barbara Ward,0.030
Arkansas,2,U.S. Representative,Libertarian,Chris Hayes,0.023
Arkansas,3,U.S. Representative,Republican,Steve Womack,0.758
Arkansas,3,U.S. Representative,Green,Rebekah Kennedy,0.161
Arkansas,3,U.S. Representative,Libertarian,David Pangrac,0.081
Arkansas,4,U.S. Representative,Republican,Tom Cotton,0.595
Arkansas,4,U.S. Representative,Democratic,Gene Jeffress,0.367
Arkansas,4,U.S. Representative,Green,Josh Drake,0.019
Arkansas,4,U.S. Representative,Libertarian,Bobby Tullis,0.019
California,1,U.S. Representative,Republican,Doug LaMalfa,0.579
California,1,U.S. Representative,Democratic,Jim Reed,0.421
California,2,U.S. Representative,Democratic,Jared Huffman,0.701
California,2,U.S. Representative,Republican,Daniel Roberts,0.299
California,3,U.S. Representative,Democratic,John Garamendi,0.537
California,3,U.S. Representative,Republican,Kim Vann,0.463
California,4,U.S. Representative,Republican,Tom McClintock,0.611
California,4,U.S. Representative,Democratic,Jack Uppal,0.389
California,5,U.S. Representative,Democratic,Mike Thompson,0.741
California,5,U.S. Representative,Republican,Randy Loftin,0.259
California,6,U.S. Representative,Democratic,Doris Matsui,0.744
California,6,U.S. Representative,Republican,"Joseph McCray, Sr.",0.256
California,7,U.S. Representative,Democratic,Ami Bera,0.511
California,7,U.S. Representative,Republican, Dan Lungren,0.489
California,8,U.S. Representative,Republican,Paul Cook,0.576
California,8,U.S. Representative,Republican,Gregg Imus,0.424
California,9,U.S. Representative,Democratic,Jerry McNerney,0.555
California,9,U.S. Representative,Republican,Ricky Gill,0.445
California,10,U.S. Representative,Republican,Jeff Denham,0.538
California,10,U.S. Representative,Democratic,José Hernández,0.462
California,11,U.S. Representative,Democratic,George Miller,0.691
California,11,U.S. Representative,Republican,Virginia Fuller,0.309
California,12,U.S. Representative,Democratic,Nancy Pelosi,0.848
California,12,U.S. Representative,Republican,John Dennis,0.152
California,13,U.S. Representative,Democratic,Barbara Lee,0.863
California,13,U.S. Representative,No party preference,Marilyn M. Singleton,0.137
California,14,U.S. Representative,Democratic,Jackie Speier,0.737
California,14,U.S. Representative,Republican,Deborah Bacigalupi,0.263
California,15,U.S. Representative,Democratic,Eric Swalwell,0.530
California,15,U.S. Representative,Democratic,Pete Stark,0.470
California,16,U.S. Representative,Democratic,Jim Costa,0.574
California,16,U.S. Representative,Republican,Brian Whelan,0.426
California,17,U.S. Representative,Democratic,Mike Honda,0.733
California,17,U.S. Representative,Republican,Evelyn Li,0.267
California,18,U.S. Representative,Democratic,Anna Eshoo,0.700
California,18,U.S. Representative,Republican,Dave Chapman,0.300
California,19,U.S. Representative,Democratic,Zoe Lofgren,0.727
California,19,U.S. Representative,Republican,Robert Murray,0.273
California,20,U.S. Representative,Democratic,Sam Farr,0.729
California,20,U.S. Representative,Republican,Jeff Taylor,0.271
California,21,U.S. Representative,Republican,David Valadao,0.599
California,21,U.S. Representative,Democratic,John Hernandez,0.401
California,22,U.S. Representative,Republican,Devin Nunes,0.631
California,22,U.S. Representative,Democratic,Otto Lee,0.369
California,23,U.S. Representative,Republican,Kevin McCarthy,0.738
California,23,U.S. Representative,No party preference,Terry Phillips,0.262
California,24,U.S. Representative,Democratic,Lois Capps,0.548
California,24,U.S. Representative,Republican,Abel Maldonado,0.452
California,25,U.S. Representative,Republican,Howard McKeon,0.552
California,25,U.S. Representative,Democratic,Lee Rogers,0.448
California,26,U.S. Representative,Democratic,Julia Brownley,0.517
California,26,U.S. Representative,Republican,Tony Strickland,0.483
California,27,U.S. Representative,Democratic,Judy Chu,0.634
California,27,U.S. Representative,Republican,Jack Orswell,0.366
